date,title,metascore,userscore
"January 12, 2018",Proud Mary,35,3.9
"January 19, 2018",Forever My Girl,36,5.0
"January 19, 2018",Den of Thieves,49,6.5
"January 19, 2018",12 Strong,54,6.3
"January 12, 2018",The Commuter,56,6.5
"January 12, 2018",Paddington 2,88,8.1
"February 23, 2018",Annihilation,80,7.4
"January 5, 2018",Insidious: The Last Key,49,5.3
"January 26, 2018",Maze Runner: The Death Cure,51,6.7
"February 2, 2018",Winchester,28,4.9
"February 9, 2018",Fifty Shades Freed,31,3.4
"February 16, 2018",Black Panther,88,6.8
"November 3, 2017",Lady Bird,94,7.3
"February 16, 2018",Samson,17,3.1
"November 10, 2017","Three Billboards Outside Ebbing, Missouri",88,7.5
"February 9, 2018",Peter Rabbit,52,7.3
"February 16, 2018",Early Man,68,7.0
"November 10, 2017",Murder on the Orient Express,52,6.4
"November 3, 2017",Thor: Ragnarok,74,7.6
"February 9, 2018",The 15:17 to Paris,45,5.6
"November 24, 2017",Call Me by Your Name,93,7.5
"December 1, 2017",The Shape of Water,87,7.1
"November 22, 2017",Coco,81,8.1
"November 22, 2017",Darkest Hour,75,7.2
"December 1, 2017",The Disaster Artist,76,7.7
"November 17, 2017",Justice League,45,6.8
"December 8, 2017","I, Tonya",77,7.6
"December 8, 2017",Just Getting Started,21,3.3
"December 20, 2017",Jumanji: Welcome to the Jungle,58,6.6
"December 15, 2017",Ferdinand,58,6.5
"December 20, 2017",The Greatest Showman,48,7.6
"December 22, 2017",Downsizing,63,5.6
"December 22, 2017",Pitch Perfect 3,40,5.9
"December 25, 2017",Phantom Thread,90,7.5
"December 25, 2017",All the Money in the World,72,6.4
"December 22, 2017",Hostiles,65,6.9
"December 22, 2017",Father Figures,22,3.2
"February 23, 2018",Every Day,53,6.5
"February 23, 2018",Game Night,66,7.7
"December 22, 2017",The Post,83,7.0
"December 15, 2017",Star Wars: Episode VIII - The Last Jedi,85,4.5
